model,family,rows_test,n_features,params_count,train_seconds,inference_ms_per_1000,accuracy,balanced_accuracy,macro_f1,weighted_f1,score_ret_corr,top10_hit_rate,top10_cum_return,top10_trades,turnover_top10
TinyTransformer,neural_transformer,2203,164,78402,6.709607958997367,30.7025460728634,0.5347253744893328,0.5352948327757796,0.5327288947087754,0.5367079898269695,0.09290705868506567,0.6561085972850679,0.44679634318615624,221,0.10031774852473899
TorchMLP,neural_mlp,2203,164,29506,0.32051333397976123,0.6666477562253429,0.5115751248297776,0.5181817038508942,0.5114373103812162,0.5125063035362734,0.021601230411337848,0.40271493212669685,-0.6814456743953982,221,0.10031774852473899
TemporalCNN,neural_cnn,2203,164,44034,9.85998004200519,53.138977302009216,0.49841125737630504,0.5038882041736885,0.4981316378397713,0.4996749225894863,0.04133544229654745,0.34841628959276016,-0.9488307886730042,221,0.10031774852473899
LogisticRegression,linear,2203,164,330,0.13412908400641754,0.7817181058928093,0.48252383113935543,0.48959135078937877,0.4824768049904714,0.4831194956918862,-0.02783257875339245,0.49321266968325794,-0.2861093740612177,221,0.10031774852473899
HistGradientBoosting,tree_boosting,2203,164,6820,1.1150889999989886,11.166307308000466,0.46118928733545167,0.4710767915084136,0.46107557729146764,0.46005574033448615,-0.06505992653783225,0.4343891402714932,-0.4302855120193536,221,0.10031774852473899
